station_id,variant,entry_ts,exit_ts,source_run
S12,MODEL_B,1970-01-01T06:37:22.092000+00:00,1970-01-01T06:46:05.449000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:38:28.156000+00:00,1970-01-01T06:47:14.746000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:39:30.827000+00:00,1970-01-01T06:48:05.473000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:40:17.280000+00:00,1970-01-01T06:49:12.874000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:41:11.112000+00:00,1970-01-01T06:49:58.374000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:42:22.234000+00:00,1970-01-01T06:50:57.864000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:43:25.901000+00:00,1970-01-01T06:51:55.304000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:44:35.843000+00:00,1970-01-01T06:53:05.037000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:45:38.385000+00:00,1970-01-01T06:53:59.672000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:46:36.704000+00:00,1970-01-01T06:54:50.377000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:47:38.981000+00:00,1970-01-01T06:55:41.175000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:48:26.974000+00:00,1970-01-01T06:56:29.157000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:49:23.589000+00:00,1970-01-01T06:57:23.909000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:50:24.652000+00:00,1970-01-01T06:58:22.396000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:51:25.005000+00:00,1970-01-01T06:59:39.125000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:52:18.443000+00:00,1970-01-01T07:00:37.410000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:53:02.028000+00:00,1970-01-01T07:01:50.131000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:53:56.760000+00:00,1970-01-01T07:02:56.201000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:54:51.260000+00:00,1970-01-01T07:04:09.975000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:55:46.847000+00:00,1970-01-01T07:05:06.235000+00:00,run_0002
S12,MODEL_B,1970-01-01T06:56:48.478000+00:00,1970-01-01T07:05:49.668000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:58:02.394000+00:00,1970-01-01T07:07:36.899000+00:00,run_0002
S12,MODEL_A,1970-01-01T06:59:12.349000+00:00,1970-01-01T07:08:35.332000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:00:14.890000+00:00,1970-01-01T07:09:37.263000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:01:20.162000+00:00,1970-01-01T07:10:21.675000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:02:24.761000+00:00,1970-01-01T07:11:25.008000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:03:23.611000+00:00,1970-01-01T07:12:10.185000+00:00,run_0002
